,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,artist,song
0,0.634,0.775,-4.09,0.0346,0.00856,0.0,0.28,0.539,123.977,1pWscEL17ssjbKXIS5nlQv,183710,Tiësto,On My Way
1,0.738,0.901,-2.212,0.0452,0.0706,0.0139,0.0753,0.646,109.987,0K7Dd9DP6fvOl0mrlX0aUa,183784,Galantis,Rich Boy
2,0.409,0.829,-6.25,0.171,0.02,0.0112,0.34,0.307,159.914,2tqINsy6HjqV96aUf3eyW9,210000,Blvk Sheep,Run
3,0.607,0.649,-6.695,0.0362,0.0306,2.46e-05,0.174,0.505,102.996,1dNIEtp7AY3oDAKCGg2XkH,247627,The Chainsmokers,Something Just Like This
7,0.597,0.867,-5.384,0.0557,0.02,5.76e-06,0.743,0.0539,127.944,7fx7XXLOc2nI5oQJBalxZ8,199907,KSHMR,Voices
8,0.703,0.728,-4.011,0.0353,0.266,0.0,0.355,0.696,116.004,43mNwDn0zOH2HKl5B4aqcx,202314,Alesso,Falling
9,0.739,0.879,-4.014,0.149,0.142,0.00428,0.531,0.383,124.928,4veR7bpBY7xYMG5BKZwWu1,188387,Tujamo,Make U Love Me
10,0.729,0.998,0.042,0.0693,0.000641,0.244,0.0586,0.732,126.016,1NQcFF1frcwdZZGhaMEYH4,153214,D.O.D,Sixes
11,0.64,0.533,-6.596,0.0706,0.119,0.0,0.0864,0.515,99.968,3eR23VReFzcdmS7TYCrhCe,220781,Kygo,It Ain't Me (with Selena Gomez)
15,0.362,0.858,-3.92,0.0743,0.00211,1.26e-06,0.25,0.279,127.889,4MXnP2Lmgo8Xeuo0ahjzQL,196347,Alesso,Years
16,0.584,0.54,-7.786,0.0576,0.0895,0.0,0.261,0.195,137.972,3ebXMykcMXOcLeJ9xZ17XH,220883,Martin Garrix,Scared to Be Lonely
17,0.646,0.644,-6.763,0.031,0.0243,0.0,0.0888,0.251,99.999,15vzANxN8G9wWfwAJLLMCg,221520,The Chainsmokers,Paris
21,0.643,0.732,-6.762,0.0294,0.00681,4.57e-05,0.0606,0.181,102.979,7gZQfdEQpmwAoPHSbEHzms,224272,Matoma,False Alarm
22,0.582,0.914,-4.097,0.0573,0.0119,0.000408,0.201,0.268,118.076,4iZ3YEN89TU8Uwan4NwkB8,271147,Gryffin,Heading Home
23,0.565,0.957,-4.167,0.0723,0.00923,0.69,0.293,0.175,127.953,6C7q15ShKWrRX450ZEcL2i,225000,Dimitri Vegas & Like Mike,Arcade
24,0.788,0.43,-7.757,0.0419,0.537,0.00261,0.0936,0.461,121.996,5eYVjWYsfGUqpkzM9uef7Q,192846,Alok,Hear Me Now
25,0.673,0.914,-3.962,0.0496,0.229,0.000478,0.186,0.183,97.021,3LlmKSHR3Rs0Y3KHQLAYDk,160427,Alan Walker,Alone
26,0.631,0.953,-3.739,0.0343,0.0241,0.0155,0.108,0.422,141.99,3MEYFivt6bilQ9q9mFWZ4g,273803,Marshmello,Alone
27,0.461,0.975,-3.245,0.174,0.0375,0.562,0.366,0.0784,129.978,7zT9HWMkkziq1ZogqdBrnw,223385,Dimitri Vegas & Like Mike,Melody - Radio Mix
28,0.55,0.652,-7.418,0.0499,0.0375,0.0,0.11,0.16,119.918,1xniUfCvv0CGGHgbZD5C0q,232000,Dimitri Vegas & Like Mike,Stay A While - Radio Edit
29,0.517,0.9,-3.834,0.202,0.0598,0.0,0.348,0.475,120.967,2U1uiiXgExCpPr4GhLGJMv,188710,Alesso,Take My Breath Away
33,0.67,0.838,-4.031,0.0362,0.0604,0.000611,0.159,0.717,104.998,78rIJddV4X0HkNAInEcYde,222041,Starley,Call On Me - Ryan Riback Extended Remix
34,0.514,0.823,-4.608,0.0596,0.0393,4.44e-06,0.374,0.368,128.015,2ud5ukcAgwOki5PyE53mPl,185625,Ivan Gough,In My Mind - Axwell Radio Edit
35,0.544,0.915,-3.405,0.0841,0.129,0.000914,0.115,0.51,126.094,4J7CKHCF3mdL4diUsmW8lq,184280,Calvin Harris,Under Control (feat. Hurts)
36,0.521,0.754,-4.144,0.0634,0.0373,0.0,0.239,0.352,125.876,0YzCQcsgj6KqwBHVx1mZrH,209867,Alesso,Heroes (we could be)
37,0.636,0.761,-7.752,0.035,0.00377,0.00784,0.0851,0.463,120.837,023H4I7HJnxRqsc9cqeFKV,285596,Duke Dumont,I Got U
38,0.552,0.907,-6.471,0.0351,0.0525,0.0454,0.122,0.548,126.995,149kdyQwLdqHBjXbbNS7FY,253165,Michael Brun,All I Ever Wanted
39,0.567,0.895,-3.08,0.0984,0.0232,0.0,0.159,0.434,127.835,26JXZORQIcEd5qQiu3qIO2,208051,Nicky Romero,Crossroads
40,0.501,0.519,-5.88,0.0409,0.109,0.0,0.454,0.168,133.99,23L5CiUhw2jV1OIMwthR3S,195707,Martin Garrix,In the Name of Love
44,0.654,0.761,-7.094,0.049,0.373,0.00711,0.0956,0.546,117.99,3TZ3MiMILR5wrQbbWiFUwI,220678,A R I Z O N A,I Was Wrong - Robin Schulz Remix
45,0.614,0.926,-5.677,0.037,0.00104,0.864,0.2,0.135,124.997,19ndEKiHmRoCOd0J660fvB,302634,Dimitri Vegas & Like Mike,Project T
46,0.69,0.489,-7.938,0.0788,0.13,0.00022,0.0815,0.645,114.008,7vHshinTU8161w69EPbabY,351579,Seinabo Sey,Younger - Kygo Remix
47,0.698,0.771,-6.015,0.0331,0.00456,8.86e-05,0.135,0.662,117.993,1ZAwsMUkY9RxCnUJs1Fmia,203617,Rainer + Grimm,Do It Right
48,0.842,0.878,-7.713,0.0531,0.00437,0.328,0.741,0.0911,126.004,6rM42s3dFqMhPdMWRr6TNd,465214,Fedde Le Grand,So Much Love - Original Club Mix
49,0.556,0.885,-4.045,0.0321,0.00786,1.95e-06,0.138,0.771,125.997,5h8tTI1Z5TrWrrPL2HP0Yu,198139,Avicii,Fade Into Darkness - Vocal Edit
53,0.738,0.932,-1.898,0.0959,0.074,0.000121,0.0623,0.624,126.994,1c0zagykmGPDYuxJeDqZhJ,204230,Bob Sinclar,World Hold on (Children of the Sky) [Radio Edit]
54,0.604,0.691,-5.807,0.159,0.00493,0.0,0.125,0.186,105.014,0PX0Ku0gmYIUcIDRO23x8B,228360,Cheat Codes,Sex
55,0.649,0.716,-5.371,0.0349,0.0863,2.63e-05,0.135,0.163,99.988,0lYBSQXN6rCTvUZvg9S0lU,205947,DJ Snake,Let Me Love You
59,0.681,0.774,-3.167,0.0787,0.0992,0.0,0.35,0.267,102.924,4xhyvLnqhupa5rXLGvl815,162425,Dante Klein,Let Me Hold You (Turn Me On)
60,0.36,0.847,-3.931,0.109,0.223,0.00019,0.147,0.501,89.915,5UrPnFJOylrP6d909CJfKy,203000,Don Diablo,What We Started (feat. BullySongs)
61,0.602,0.834,-6.573,0.0358,0.0297,0.887,0.34,0.353,125.99,6Xe9wT5xeZETPwtaP2ynUz,338867,Avicii,Levels - Original Version
62,0.556,0.745,-4.254,0.0745,0.127,0.372,0.0954,0.426,122.035,1JXuUHHaUfjcyFqdHQDtmt,195000,Watermät,Bullit
63,0.597,0.685,-6.371,0.0367,0.0245,0.000335,0.182,0.369,122.002,0tDC3KJPPu5eonGTtCURpq,209208,Robin Schulz,Headlights (feat. Ilsey)
64,0.677,0.569,-10.833,0.0927,0.642,0.00119,0.509,0.288,100.06,18YIDJGWXocUPFbAzTaq8g,234093,Kygo,Serious (feat. Matt Corby)
65,0.606,0.67,-6.807,0.047,0.138,6.6e-06,0.354,0.212,119.96,59JreAiZzOF6pB8nIqEi20,237920,Kygo,Oasis (feat. Foxes)
69,0.55,0.689,-7.76,0.094,0.0498,0.0,0.207,0.408,99.904,2Vhd5uZB4brKHmM0MNxkZo,224487,Kygo,Raging (feat. Kodaline)
70,0.829,0.51,-9.334,0.0369,0.00821,0.00143,0.0829,0.45,119.994,1HFfMOxCAT4GAwaPfCdmUs,208133,Mr. Probz,Waves - Robin Schulz Radio Edit
71,0.792,0.717,-4.759,0.0393,0.0927,3.59e-05,0.226,0.466,121.985,1A8j067qyiNwQnZT0bzUpZ,195547,Kungs,This Girl (Kungs Vs. Cookin' On 3 Burners)
72,0.548,0.723,-6.002,0.0375,0.0969,1.28e-05,0.337,0.499,125.088,0CI422U7nhDLnk43s1BS1F,179960,Robin Schulz,Sun Goes Down (feat. Jasmine Thompson) - Radio Mix
